Rtype,RegionCode,RegionName,CarAccidents,Deaths
federation,Russian Federation,Российская Федерация,203597,27991
fregion,RU-BEL,Белгородскаяобласть,651,0
fregion,RU-BRY,Брянскаяобласть,875,0
fregion,RU-VLA,Владимирскаяобласть,1283,0
fregion,RU-VOR,Воронежскаяобласть,1172,0
fregion,RU-IVA,Ивановскаяобласть,1097,0
fregion,RU-KLU,Калужскаяобласть,1225,0
fregion,RU-KOS,Костромскаяобласть,371,0
fregion,RU-KRS,Курскаяобласть,556,0
fregion,RU-LIP,Липецкаяобласть,673,0
fregion, RU-MOW,Москва,151313,46071488926.31
fregion,RU-MOS,Московскаяобласть,25961,1327057142.3
fregion,RU-ORL,Орловскаяобласть,548,0
fregion,RU-RYA,Рязанскаяобласть,1080,0
fregion,RU-SMO,Смоленскаяобласть,964,0
fregion,RU-TAM,Тамбовскаяобласть,736,0
fregion,RU-TVE,Тверскаяобласть,1212,0
fregion,RU-TUL,Тульскаяобласть,1564,1843245.1
fregion,RU-YAR,Ярославскаяобласть,1157,0
fdistrict,Central,Центральныйокруг,54493,0
fregion,RU-KR,Республика Карелия,861,0
fregion,RU-KO,Республика Коми,1675,0
fregion,RU-ARK,Архангельская область,2133,0
fregion,RU-VLG,Вологодская область,1986,0
fregion,RU-KGD,Калининградская область,1327,0
fregion,RU-LEN,Ленинградская область,3576,0
fregion,RU-SPE,Санкт-Петербург,8288,0
fregion,RU-MUR,Мурманская область,969,0
fregion,RU-NGR,Новгородская область,1470,0
fregion,RU-PSK,Псковская область,1635,0
fregion,RU-NEN,Ненецкий авт.округ,43,0
fdistrict,Northwestern,Северо-Западный округ,23963,0
fregion,RU-AD,Республика Адыгея,540,0
fregion,RU-KL,Республика Калмыкия,692,0
fregion,RU-KDA,Краснодарский край,6710,0
fregion,RU-AST,Астраханская область,1763,0
fregion,RU-VGG,Волгоградская область,3052,0
fregion,RU-ROS,Ростовская область,6183,0
fdistrict,Southern,Южный округ,18940,0
fregion,RU-DA,Республика Дагестан,1419,0
fregion,RU-IN,Республика Ингушетия,235,0
fregion,RU-KB,Кабардино-Балкарская Республика,837,0
fregion,RU-KC,Карачаево-Черкесская Республика,642,0
fregion,RU-SE,Республика Северная Осетия,769,0
fregion,RU-CE,Чеченская Республика,387,0
fregion,RU-CE & RU-IN,Чеченская Республика и Республика Ингушетия,652,0
fregion,RU-STA,Ставропольский край,2912,0
fdistrict,Northcaucasian,Северо-Кавказский округ,7201,0
fregion,RU-BA,Республика Башкортостан,5115,0
fregion,RU-ME,Республика Марий Эл,1113,0
fregion,RU-MO,Республика Мордовия,1104,0
fregion,RU-TA,Республика Татарстан,5483,0
fregion,RU-UD,Удмуртская Республика,1524,0
fregion,RU-CU,Чувашская Республика,2061,0
fregion,RU-PER,Пермский край,3898,0
fregion,RU-KIR,Кировская область,2093,0
fregion,RU-NIZ,Нижегородская область,5215,0
fregion,RU-ORE,Оренбургская область,2449,0
fregion,RU-PNZ,Пензенская область,2251,0
fregion,RU-SAM,Самарская область,4600,0
fregion,RU-SAR,Саратовская область,2605,0
fregion,RU-ULY,Ульяновская область,2199,0
fdistrict,Volga,Приволжский округ,41710,0
fregion,RU-KGN,Курганская область,1410,0
fregion,RU-SVE,Свердловская область,5387,0
fregion,RU-TYU,Тюменская область,3431,0
fregion,RU-CHE,Челябинская область,4924,0
fregion,RU-KHM,Ханты-мансийский авт.округ,2462,0
fregion,RU-YAN,Ямало-ненецкий авт.округ,743,0
fdistrict,Urals,Уральский округ,18357,0
fregion,RU-AL,Республика Алтай,436,0
fregion,RU-BU,Республика Бурятия,1463,0
fregion,RU-TY,Республика Тыва,337,0
fregion,RU-KK,Республика Хакасия,1170,0
fregion,RU-ALT,Алтайский край,3778,0
fregion,RU-ZAB,Забайкальский край,1287,0
fregion,RU-KYA,Красноярский край,5135,0
fregion,RU-IRK,Иркутская область,3420,53742.39
fregion,RU-KEM,Кемеровская область,3913,0
fregion,RU-NVS,Новосибирская область,2637,0
fregion,RU-OMS,Омская область,3377,0
fregion,RU-TOM,Томская область,952,0
fdistrict,Siberia,Сибирский округ,27905,0
fregion,RU-SA,Республика Саха (Якутия),932,0
fregion,RU-PRI,Приморский край,4370,0
fregion,RU-KAM,Камчатский край,655,0
fregion,RU-KHA,Хабаровский край,2203,0
fregion,RU-AMU,Амурская область,1367,0
fregion,RU-MAG,Магаданская область,314,0
fregion,RU-SAK,Сахалинская область,760,0
fregion,RU-YEV,Еврейская автономная область,403,0
fregion,RU-CHU,Чукотский авт.округ,24,0
fdistrict,Far_Eastern,Дальневосточный округ,11028,0
